P0ID,No,Stage,Scene,Acceptance,SourceSection,PrimaryTaskID,RequiredEvidenceLevel,CurrentEvidenceStatus,AutomatedTestID,ManualCaseID,NegativeChecks,EvidenceLink,LastVerifiedCommit,Verifier,VerifiedAt,Notes
P0-029,29,M3,统一企业采购,认证企业可跨供应商选择带集采标识的共用商品，提交一个企业主订单并完成付款、统一配送、收货、售后和发票。,§8企业采购、§9订单福利卡支付,M3-P029,CI_PASS,NOT_EXECUTED,PARTIAL:apps/api/test/supertest/unified-enterprise-procurement-api.test.mjs|apps/api/test/unit/prisma-order-repository.test.mjs|apps/api/test/unit/prisma-payment-repository.test.mjs|apps/api/test/unit/prisma-enterprise-remittance-repository.test.mjs|tests/e2e/p0/p0-029-unified-enterprise-procurement.spec.ts,N/A,非法/缺失字段零写入；客户端所有者字段拒绝；跨企业地址/发票拒绝；停用企业/无采购权限拒绝；同幂等键异体付款方式冲突；供应价与原始敏感字段不返回,PARTIAL:docs/contracts/m3/M3-P029-unified-enterprise-procurement.md|artifacts/verification/M3-P029/unified-enterprise-procurement.json|https://github.com/EasyStep-lee/flt1/pull/94|https://github.com/EasyStep-lee/flt1/actions/runs/31882132719,4e164abe7bc343fdc977998982649e124caf6d90,GITHUB_ACTIONS+CODEX,2026-08-15T11:39:39Z,M3-P029企业主订单与付款路由技术切片已合并且main CI通过；完整门户页面、企业配送、收货、售后、发票及真实资金仍未执行，故P0-029整体保持NOT_EXECUTED。
P0-030,30,M3,社区集采边界,“社区集采”不依赖指定社区、活动时间、成团门槛或团长；平台不实现企业内部 OA、预算和采购审批。,§8企业采购、§9订单福利卡支付,M3-P030,CI_PASS,CI_PASS,apps/portal-web/test/community-procurement-boundary.test.mjs|tests/contracts/m3-p030-community-procurement-boundary.contract.test.mjs|tests/e2e/p0/p0-030-community-procurement-boundary.spec.ts|tests/e2e/p0/p0-027-portal-publicity.spec.ts,N/A,公开入口不含指定社区、活动时段、成团/团长交互；Prisma/OpenAPI无活动或企业内部工作流字段；供应价与内部经营字段不返回；私有企业路由不进入sitemap且noindex/private/no-store,docs/contracts/m3/M3-P030-community-procurement-boundary.md|artifacts/verification/M3-P030/community-procurement-boundary.json|artifacts/verification/M3-P030/community-procurement-desktop.png|artifacts/verification/M3-P030/community-procurement-mobile.png|https://github.com/EasyStep-lee/flt1/pull/96|https://github.com/EasyStep-lee/flt1/actions/runs/31885709995,3e1672b8b6b93b1207549e0e882ff35a66635ee3,GITHUB_ACTIONS+CODEX,2026-08-15T13:03:22Z,公开入口为5分钟ISR静态HTML；认证后交易能力继续使用动态noindex/private/no-store路由。本切片无迁移、业务API或活动模型；staging/production未执行。
P0-031,31,M3,供应商备货,个人和企业主订单均按 supplierId 生成 SupplierFulfillmentSubOrder；各供应商只能确认、报缺、备货和移交自己的商品，不得看到其他供应商子单。,§8企业采购、§9订单福利卡支付,M3-P031,CI_PASS,LOCAL_PASS,apps/api/test/supertest/supplier-fulfillment-preparation-api.test.mjs|tests/migrations/m3-p031-supplier-fulfillment-migration.contract.test.mjs|tests/e2e/p0/p0-031-supplier-fulfillment-preparation.spec.ts,N/A,跨供应商读取/节点写入拒绝；重复幂等键不同载荷冲突；陈旧version/非法乱序拒绝；Dto不含供应价/结算/支付/福利卡/归属字段；本切片不得创建DeliveryTask或EnterpriseDeliveryOrder,docs/contracts/m3/M3-P031-supplier-fulfillment-preparation.md|artifacts/verification/M3-P031/supplier-fulfillment-preparation.json|artifacts/verification/M3-P031/supplier-fulfillment-page.png,LOCAL_WORKTREE,CODEX,2026-08-16T01:44:20.2796910Z,M3-P031仅完成供应商备货与移交准备，个人跑腿/企业统一配送、收货、售后、对账结算及staging/device/production均未执行。
P0-032,32,M4,个人抢单大厅,每个个人供应商履约子单幂等生成一个 DeliveryTask，对已启用跑腿员可见并可乐观锁抢单；同一个人主订单可形成多个任务，企业采购子单始终不可见。,§10个人跑腿与企业统一配送,M4-P032,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-033,33,M4,个人物流节点,跑腿员按顺序点击到店、取货、配送、到达和送达，不能越级。,§10个人跑腿与企业统一配送,M4-P033,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-034,34,M4,个人取送双导航,个人任务必须同时提供供应商取货点和用户收货目的地；取货完成前拉起本人手机地图导航到取货点，取货完成后导航到目的地。两个地点导航失败均可复制完整地址，地图不回写业务状态。,§10个人跑腿与企业统一配送,M4-P034,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-035,35,M4,个人物流简化,个人跑腿无智能调度、路线优化和按地图实际距离结算逻辑。,§10个人跑腿与企业统一配送,M4-P035,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-036,36,M4,异常物流,个人跑腿异常和企业平台汇总/配送异常分别上报，均保留责任、数量、照片和处理结果。,§10个人跑腿与企业统一配送,M4-P036,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-037,37,M4,个人与企业收货,个人用户或企业指定收货人可确认收货，不强制扫码；异常场景可要求照片或客服复核。,§10个人跑腿与企业统一配送,M4-P037,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-038,38,M5,售后统一受理,用户向公司申请售后，供应商仅提交意见和凭证。,§11售后、§12对账结算,M5-P038,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-039,39,M5,责任归因,用户/企业、供应商、个人跑腿、平台企业配送、公司和责任不清均有退款与对账处理规则。,§11售后、§12对账结算,M5-P039,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-040,40,M5,线上对账单,供应商逐项查看订单、经审核生效的供应价快照、数量、退款、调整和本期应付。,§11售后、§12对账结算,M5-P040,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-041,41,M5,差异申诉,供应商可对账单提出差异、上传凭证，公司复核过程可追溯。,§11售后、§12对账结算,M5-P041,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-042,42,M5,线下结算,系统不自动出款；公司登记线下付款金额、时间、银行流水和凭证。,§11售后、§12对账结算,M5-P042,STAGING_PASS,NOT_EXECUTED,TO_BE_CREATED,MANUAL-042,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-043,43,M5,账单不可覆盖,已确认账单不允许直接修改，错误通过补充或冲正调整处理。,§11售后、§12对账结算,M5-P043,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-044,44,M5,供应商退出,终止前完成订单、售后、对账和发票；历史记录保留。,§11售后、§12对账结算,M5-P044,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-045,45,M1,敏感操作审计,退款、强制下架、银行账户变更和付款标记均记录操作人及前后值。,§3角色权限、§4供应商后台、§14安全审计,M1-P045,CI_PASS,CI_PASS,NEG-M1-045-01|NEG-M1-045-02|NEG-M1-045-03|NEG-M1-045-04,N/A,AUDIT_OMISSION；SNAPSHOT_OVERWRITE；ACTOR_SPOOF；REQUEST_CORRELATION,artifacts/verification/M1-P045/sensitive-audit.json,91c9a73f17db46d88aaad6590a7a3d39d63c786e,GITHUB_ACTIONS+CODEX,2026-08-08T02:27:50-04:00,PR #16精确head 91c9a73的CI run 31066656197及合并后main run 31067369336成功；AuditLog追加、白名单与负例在M1-GATE回归中通过；后续业务动作仍须各自切片接入复验。
P0-046,46,M1,敏感数据隔离,跑腿员只在个人订单履约阶段看到必要地址；供应价和供应商结算数据仅公司价格审核/财务页面及对应供应商价格/财务页面可见，其他职能页面、个人端、企业端、跑腿端和其他供应商越权请求均不返回敏感字段。,§3角色权限、§4供应商后台、§14安全审计,M1-P046,CI_PASS,CI_PASS,NEG-M1-046-01|NEG-M1-046-02|NEG-M1-046-03|NEG-M1-046-04,N/A,FIELD_SCOPE；CROSS_ROLE；PUBLIC_DTO；EXPORT_APPROVAL,artifacts/verification/M1-P046/sensitive-data-isolation.json,1dd9074e88e8b1eb16699556648edd6b16ad9a11,GITHUB_ACTIONS+CODEX,2026-08-08T02:27:50-04:00,PR #18精确head 1dd9074的CI run 31069644893及合并后main run 31070163062成功；默认拒绝、职能/供应商隔离与响应白名单在M1-GATE回归中通过；M4真实地址DTO尚待后续复验。
P0-047,47,M1,OpenAPI 与响应白名单,各端接口有权限、请求、响应、幂等和用户可读错误码；spec 由后端 @nestjs/swagger 经确定性脚本生成，openapi-typescript 生成统一类型；Web 使用 openapi-fetch，原生小程序使用同类型的 wx.request 适配器。CI 校验 spec/类型无未提交差异、全端类型检查通过，并以锁定版本的 oasdiff 阻断破坏性变更；对客 DTO 和响应契约测试禁止 supplyPrice、approvedSupplyPrice、supplyPriceSnapshot、供应商应付及毛利字段。,§3角色权限、§4供应商后台、§14安全审计,M1-P047,CI_PASS,CI_PASS,NEG-M1-047-01|NEG-M1-047-02|NEG-M1-047-03|NEG-M1-047-04,N/A,RESPONSE_WHITELIST；DETERMINISTIC_OPENAPI；OASDIFF_BREAKING；MINIAPP_TRANSPORT,artifacts/verification/M1-P047/openapi-response-whitelist.json,2a0791976a8190d7668d98f2bd808e78073582cc,GITHUB_ACTIONS+CODEX,2026-08-08T02:27:50-04:00,PR #20精确head 2a07919的CI run 31076242739及合并后main run 31076692902成功；确定性OpenAPI、统一类型、oasdiff、小程序适配与响应白名单在M1-GATE回归中通过。
P0-048,48,M6,迁移与构建,Prisma validate、migration dry-run、lint、typecheck、test 和 build 全部通过。,§15工程与§16-P0验收矩阵,M6-P048,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-049,49,M6,异常页面状态,用户、企业门户、供应商、公司物流工作台和跑腿端覆盖加载、空态、失败、禁用和无权限。,§15工程与§16-P0验收矩阵,M6-P049,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-050,50,M6,综合闭环,可演示个人用户跨供应商一次结账、拆分多个供应商履约子单并分别进入跑腿大厅；同时演示企业多供应商订单拆子单、平台统一配送、统一售后以及公司分别与供应商对账。,§15工程与§16-P0验收矩阵,M6-P050,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-051,51,M3,福利卡计划与批次,公司可创建企业福利计划和发行批次，配置资金来源、额度、适用范围、领取方式、协议版本和状态。,§8企业采购、§9订单福利卡支付,M3-P051,CI_PASS,NOT_EXECUTED,NEG-M3-P051-01|NEG-M3-P051-02|NEG-M3-P051-03,MANUAL-051,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-052,52,M3,福利卡绑定,用户可通过卡号密码、兑换码或扫码绑定；重复兑换、作废卡、冻结卡和非本人领取均被拦截且结果幂等。,§8企业采购、§9订单福利卡支付,M3-P052,CI_PASS,NOT_EXECUTED,NEG-M3-P052-01|NEG-M3-P052-02|NEG-M3-P052-03,MANUAL-052,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-053,53,M3,福利卡账户选择,结算页只展示当前订单可用账户，显示余额与适用范围，并自动计算最大可抵扣金额。,§8企业采购、§9订单福利卡支付,M3-P053,CI_PASS,NOT_EXECUTED,NEG-M3-P053-01|NEG-M3-P053-02|NEG-M3-P053-03,MANUAL-053,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-054,54,M3,福利卡适用范围,分类/商品白名单、黑名单和配送费规则由后端统一校验，商品详情、购物车和结算页口径一致。,§8企业采购、§9订单福利卡支付,M3-P054,CI_PASS,NOT_EXECUTED,NEG-M3-P054-01|NEG-M3-P054-02|NEG-M3-P054-03,MANUAL-054,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-055,55,M3,福利卡全额支付,现金应付为零时不调用外部支付，福利卡冻结转实扣、订单置为已支付和流水写入在同一幂等事务完成。,§8企业采购、§9订单福利卡支付,M3-P055,CI_PASS,NOT_EXECUTED,NEG-M3-P055-01|NEG-M3-P055-02|NEG-M3-P055-03,MANUAL-055,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-056,56,M3,福利卡＋微信支付成功,福利卡先冻结，微信支付差额成功后福利卡转实扣；订单总额始终等于福利卡抵扣加微信支付实付，且只生成一笔公司微信支付交易。,§8企业采购、§9订单福利卡支付,M3-P056,STAGING_PASS,NOT_EXECUTED,NEG-M3-P056-01|NEG-M3-P056-02|NEG-M3-P056-03,MANUAL-056,NON_WECHAT_CONSUMER_CASH；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-057,57,M3,混合支付取消,用户取消后服务端先查微信支付交易，确认未支付才释放福利卡、优惠券和库存；状态未知时不误释放。,§8企业采购、§9订单福利卡支付,M3-P057,STAGING_PASS,NOT_EXECUTED,NEG-M3-P057-01|NEG-M3-P057-02|NEG-M3-P057-03,MANUAL-057,OUT_OF_ORDER_CALLBACK；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-058,58,M3,混合支付拆分退款,全额和部分退款均按 OrderPaymentAllocation 返回原福利卡账户和原微信支付交易，尾差规则确定且可复现。,§8企业采购、§9订单福利卡支付,M3-P058,STAGING_PASS,NOT_EXECUTED,NEG-M3-P058-01|NEG-M3-P058-02|NEG-M3-P058-03,MANUAL-058,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-059,59,M3,福利卡账本,发行、领取、冻结、解冻、实扣、退款、冲正和调整全部写入 append-only WelfareCardLedger，账户余额与流水一致且不为负。,§8企业采购、§9订单福利卡支付,M3-P059,CI_PASS,NOT_EXECUTED,NEG-M3-P059-01|NEG-M3-P059-02|NEG-M3-P059-03,N/A,PERSONAL_RECHARGE；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-060,60,M5,供应商结算隔离与合规门槛,用户支付结构不影响供应商供货款；系统不提供个人现金充值功能，福利卡资金仅来源于企业福利发放、公司活动赠送和实体卡/兑换码。,§11售后、§12对账结算,M5-P060,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,个人充值API/路由/枚举/开关；第四类资金来源；用户支付结构影响供应商供货款,,,,,
P0-061,61,M2,商品资源与集采标识,个人小程序和企业采购入口引用同一 Product/Sku、分类、图片和库存；供应商勾选集采标识且商品 ACTIVE 后才进入企业采购货架。,§5分类模板、§6商品价格库存,M2-P061,CI_PASS,CI_PASS,NEG-M2-061-01|NEG-M2-061-02|NEG-M2-061-03,N/A,DUPLICATE_CATALOG_RESOURCE；ENTERPRISE_FLAG_DISABLED；CHANNEL_FLAG_HISTORY,apps/api/test/supertest/shared-catalog-enterprise-flag-api.test.mjs|apps/api/test/unit/public-catalog-prisma-repository.test.mjs|tests/contracts/m2-p061-shared-catalog-enterprise-flag.contract.test.mjs|tests/migrations/m2-p061-shared-catalog-enterprise-flag-migration.contract.test.mjs|tests/e2e/p0/p0-061-shared-catalog-enterprise-flag.spec.ts|docs/contracts/m2/M2-P061-shared-catalog-enterprise-flag.md|packages/contracts/openapi.json,74a53613b6f67b287e61e540d0feaadcc9b66437,CODEX+GITHUB_ACTIONS,2026-08-12T09:26:25Z,RED与本地完整verify 17/17、focused API/契约/迁移/Chromium、API全量179/179及MySQL演练通过；PR #68 head 74a5361的run 31582179718成功。同一skuId作为M2-P063唯一InventoryBalance资源键；不宣称P0-063完成。staging/device/production未执行。
P0-062,62,M3,多供应商企业主订单,企业可一次选择至少三个供应商商品并提交一个主订单；平台按 supplierId 准确生成子单，金额与商品汇总一致。,§8企业采购、§9订单福利卡支付,M3-P062,CI_PASS,NOT_EXECUTED,NEG-M3-P062-01|NEG-M3-P062-02|NEG-M3-P062-03,N/A,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,artifacts/verification/M3-000/m3-contract-freeze.json#negativeTests,,,,M3-000仅冻结失败行为与测试ID；业务切片未实现，当前证据保持NOT_EXECUTED
P0-063,63,M2,跨渠道共用库存,个人订单和企业采购订单并发购买同一 SKU 时锁定同一 InventoryBalance，预扣、释放和出库流水完整且不超卖；商品表、供应商草稿和缓存不存在第二套可成交库存。,§5分类模板、§6商品价格库存,M2-P063,CI_PASS,CI_PASS,NEG-M2-063-01|NEG-M2-063-02|NEG-M2-063-03|NEG-M2-063-04,N/A,DUPLICATE_INVENTORY_BALANCE；INVENTORY_NEGATIVE；CONCURRENT_LOST_UPDATE；DUPLICATE_ADJUSTMENT,apps/api/test/supertest/shared-inventory-balance-api.test.mjs|apps/api/test/unit/shared-inventory-domain.test.mjs|tests/contracts/m2-p063-shared-inventory.contract.test.mjs|tests/migrations/m2-p063-shared-inventory-migration.contract.test.mjs|tests/e2e/p0/p0-063-shared-inventory.spec.ts|docs/contracts/m2/M2-P063-shared-inventory.md|packages/contracts/openapi.json|https://github.com/EasyStep-lee/flt1/pull/70|https://github.com/EasyStep-lee/flt1/actions/runs/31656547021,92a0186d74be1c85372ab9dabbc225e769b6898a,CODEX+GITHUB_ACTIONS,2026-08-13T01:16:24Z,PR #70 exact-head CI通过并合并为main b9eb7f7；main首次因oasdiff下载fetch failed失败后同SHA重跑job 94312597218通过。内部reserve/release/confirmSale仍仅为M3稳定领域契约；staging/device/production未执行。
P0-064,64,M4,企业平台统一配送,企业订单生成 EnterpriseDeliveryOrder，由公司物流工作台安排车辆/司机或承运商；不生成 DeliveryTask，不出现在跑腿大厅。,§10个人跑腿与企业统一配送,M4-P064,STAGING_PASS,NOT_EXECUTED,TO_BE_CREATED,MANUAL-064,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-065,65,M5,多供应商分别对账,个人和企业主订单均按供应商履约子单分别进入对应供应商账单；每家供应商以其经审核生效的供应价快照、履约数量和责任调整计算，公司分别线下结算。供应价仅进入公司内部账单和对应供应商账单，客户付款方式、对客页面及其他供应商数据不得混入。,§11售后、§12对账结算,M5-P065,CI_PASS,NOT_EXECUTED,TO_BE_CREATED,N/A,越权；重复请求；非法状态；敏感字段泄露；失败恢复（按适用性执行）,,,,,
P0-066,66,M1,公司后台登录与职能选择,公司后台使用独立登录入口且不开放公众注册；只有一个职能账号时直达固定页面，同一人员拥有多个职能账号时先进入账号选择页，每次只签发一个 functionalAccountId 会话。,§3角色权限、§4供应商后台、§14安全审计,M1-P066,CI_PASS,CI_PASS,NEG-M1-066-01|NEG-M1-066-02|NEG-M1-066-03|NEG-M1-066-04,N/A,PUBLIC_COMPANY_REGISTRATION；MULTI_ACCOUNT_AUTO_ENTRY；MULTI_SESSION；ACCOUNT_DISABLED,artifacts/verification/M1-P066/company-auth.json,4c3e07a359ae2d99f47ed9265730a1d9dd27531c,CODEX,2026-08-06T05:31:08-04:00,PR #22最终head 4c3e07a精确CI run 31084427860成功；授权合并为1254f710且main CI run 31089444537成功；预发布/生产/正式验收未执行
P0-067,67,M1,公司职能账号独立页面,超级管理员、供应商运营、商品与分类运营、价格审核、订单客服、福利卡运营、财务、物流、门户编辑和审计账号分别进入固定 workspaceRoute；页面不出现其他职能菜单，手工访问其他职能路由或接口返回无权限。,§3角色权限、§4供应商后台、§14安全审计,M1-P067,CI_PASS,CI_PASS,NEG-M1-067-01|NEG-M1-067-02|NEG-M1-067-03|NEG-M1-067-04,N/A,ROUTE_DEEP_LINK；MENU_LEAKAGE；API_ROLE_MISMATCH；SESSION_REUSE,artifacts/verification/M1-P067/company-workspaces.json,702aa02b305f96bdc1e02002a108208fc9ac092f,CODEX,2026-08-06T22:30:10-04:00,PR #24精确head 702aa02的CI run 31095481940成功；授权合并为aa7b9a7且main CI run 31139537997成功；预发布/生产/正式验收未执行
P0-068,68,M1,公司独立页面完整性,每个公司职能页面均具备自己的工作台、内部列表/筛选/详情/时间线及加载、空态、失败和无权限状态；共用组件不导致数据、菜单或会话上下文合并。,§3角色权限、§4供应商后台、§14安全审计,M1-P068,CI_PASS,CI_PASS,NEG-M1-068-01|NEG-M1-068-02|NEG-M1-068-03,N/A,MISSING_UI_STATE；SHARED_CONTEXT；ERROR_SECRET_LEAK,artifacts/verification/M1-P068/company-workspace-completeness.json,9c91673bc698083ffaac9df07ba401c75f61e939,CODEX,2026-08-07T00:03:13-04:00,API-083及十类PAGE-003至PAGE-012通过本地完整门禁；PR #26精确head CI 31143472876成功并合并为ff8d5ae；合并后main CI 31144798071成功；staging/生产/正式验收未执行
P0-069,69,M1,供应商注册、登录与职能选择,门户供应商合作入口可进入注册和登录；审核通过后激活主体管理账号，各业务职能账号分别邀请；supplierId 由服务端绑定，同一人员多职能时必须在账号选择页逐一进入。,§3角色权限、§4供应商后台、§14安全审计,M1-P069,CI_PASS,CI_PASS,NEG-M1-069-01|NEG-M1-069-02|NEG-M1-069-03|NEG-M1-069-04,N/A,SUPPLIER_ID_TAMPER；REGISTRATION_LOGIN_CONFLATION；MULTI_ACCOUNT_AUTO_ENTRY；INACTIVE_SUPPLIER_LOGIN；COOKIE_OMITTED；AUTH_ERROR_CACHE；SELECTION_REPLAY_COOKIE_LOSS；CONCURRENT_REPLAY_RESPONSE_REORDER；DIRECT_LOGIN_REQUEST_REPLAY_COOKIE_LOSS；VERIFICATION_CODE_TYPE_LENGTH_BYPASS；SELECTION_NONCE_PUBLIC_ID_DERIVATION；SECOND_VERIFICATION_REPLAY_RECONSUMPTION；WORKSPACE_SELECTION_FAILURE_AUDIT_GAP；SESSION_SIGNING_KEY_MISSING；SESSION_KEY_ROTATION_REUSE；SAME_ORIGIN_API_PROXY_MISSING；MOCK_ONLY_BROWSER_CHAIN；CLEAN_CHECKOUT_DIST_DEPENDENCY；WORKSPACE_DEPENDENCY_OUTPUT_MISSING,artifacts/verification/M1-P069/supplier-auth.json,c914a5e7d1036e20f6a989f40455c30d9dbe0043,CODEX,2026-08-07T07:55:09-04:00,PR #28精确head run 31174016101成功；用户授权后合并为417d165；合并后main run 31175113225成功；staging/生产/真实身份源和正式验收未执行
P0-070,70,M1,供应商职能账号独立页面,主体管理、商品、价格、库存、履约、售后、财务和审计账号分别进入固定页面且只显示本职能内部菜单；兼任通过多个职能账号切换实现，不允许合并页面或权限。,§3角色权限、§4供应商后台、§14安全审计,M1-P070,CI_PASS,CI_PASS,NEG-M1-070-01|NEG-M1-070-02|NEG-M1-070-03|NEG-M1-070-04|NEG-M1-070-05,N/A,CROSS_WORKSPACE；CROSS_SUPPLIER；COMBINED_ROLE_PAGE；SESSION_REUSE；STALE_RESPONSE,artifacts/verification/M1-P070/supplier-workspaces.json,acadd8b838c4061c8184b12db077a030d0a8e277,CODEX,2026-08-07T21:23:58-04:00,PR #30精确head CI成功并经授权合并为a721d56；合并后main run 31232556011成功；staging与production未执行
P0-071,71,M2,独立价格与审批页面,供应商价格独立页面清楚区分初始价格审核、供应价变更申请和两类销售价直接调价；公司价格审核独立页面展示原值、新值、比例、原因、生效时间和历史意见，重复提交、并发审批和无理由批量通过被阻止。,§3角色权限、§4供应商后台、§14安全审计,M2-P071,CI_PASS,CI_PASS,NEG-M2-071-01|NEG-M2-071-02|NEG-M2-071-03|NEG-M2-071-04,N/A,SAME_NATURAL_PERSON_REVIEW；PRICE_PAGE_ROLE_MISMATCH；CONCURRENT_REVIEW；REASONLESS_BULK_APPROVAL,apps/api/test/supertest/price-approval-pages-api.test.mjs|tests/contracts/m2-p071-price-approval-pages.contract.test.mjs|tests/e2e/p0/p0-071-price-approval-pages.spec.ts|docs/contracts/m2/M2-P071-price-approval-pages.md|packages/contracts/openapi.json|artifacts/verification/M2-P071/price-approval-pages.json,7ea79b9fec8364aecbe5beeb12fc53d43be45690,GITHUB_ACTIONS+CODEX_SELF_REVIEW,2026-08-13T03:22:51Z,PR #72 exact-head CI run 31662130194及合并后main@7ea79b9 run 31663228561均成功；M2-GATE本轮P0 Chromium 27/27覆盖P071。staging/device/production未执行。
P0-072,72,M1,后台敏感操作与审计,供应价查看、供应价审批、退款复核、福利卡调整、付款登记、银行账户复核和敏感导出使用独立权限点；要求双人复核时按自然人 identityId 阻止同一人员跨职能账号自审、自批，超级管理员也不能绕过；职能账号/类型变更、登录、账号选择、查看敏感字段、导出和会话撤销均可审计。,§3角色权限、§4供应商后台、§14安全审计,M1-P072,CI_PASS,CI_PASS,NEG-M1-072-01|NEG-M1-072-02|NEG-M1-072-03|NEG-M1-072-04|NEG-M1-072-05,N/A,NATURAL_IDENTITY_SEPARATION；SUPER_ADMIN_BYPASS；CONCURRENT_REVIEW；IDEMPOTENT_COMMAND_COALESCING；AUDIT_COMPLETENESS,artifacts/verification/M1-P072/sensitive-operations-audit.json,efb50c01049686ce5acf8463342a53d4e572a7cd,GITHUB_ACTIONS+CODEX,2026-08-08T02:27:50-04:00,PR #32精确head efb50c0的CI run 31239438856及合并后main run 31240531655成功；同自然人、超级管理员无旁路、并发CAS、同键命令合并、审计回滚与供应商数据域在M1-GATE回归中通过；真实导出、预发布与生产未执行。
