Entity,Field,RawDefinition,Position,SuggestedType,Required,UnitOrFormat,Sensitivity,Visibility,ForbiddenExposure,Validation,HistoryRule,Stage,P0,Source,Status
AuthSession,userType,userType,2,Enum<COMPANY_USER|SUPPLIER_USER>,YES,COMPANY_USER|SUPPLIER_USER,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,userId,userId,3,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,functionalAccountId,functionalAccountId,4,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,exactly one active functional account per session,按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,workspaceRoute,workspaceRoute,5,String,YES,absolute route from server allowlist,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,must equal the selected FunctionalAccountType.workspaceRoute,按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,sessionHash,sessionHash,6,String,YES,lowercase SHA-256 hex; 64 chars,SECRET_OR_CREDENTIAL,仅后端最小权限读取，响应永不返回,禁止提交、日志、快照和前端下发,only the hash is stored; raw session token is never logged or returned; same selectedSession replay must not overwrite the hash,按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_P069
AuthSession,deviceInfo,deviceInfo,7,Json,YES,AuthSessionDeviceInfoSchemaV1,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,ip,ip,8,String,YES,IPv4 or IPv6 text; max 45 chars,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,expiresAt,expiresAt,9,DateTime,YES,ISO-8601 UTC timestamp,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
AuthSession,revokedAt,revokedAt?,10,DateTime,NO,ISO-8601 UTC timestamp,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-004,P0-046,P0-066,P0-067,P0-069,P0-070,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,id,id,1,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,userType,userType,2,Enum<COMPANY_USER|SUPPLIER_USER|UNKNOWN>,YES,COMPANY_USER|SUPPLIER_USER|UNKNOWN,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,userId,userId?,3,UUID,NO,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,functionalAccountId,functionalAccountId?,4,UUID,NO,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,loginAccountHash,loginAccountHash,5,String(64),YES,lowercase SHA-256 hex; 64 chars,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,result,result,6,Enum<SUCCESS|AUTH_INVALID|ACCOUNT_SUSPENDED|RATE_LIMITED|SECOND_VERIFICATION_REQUIRED>,YES,SUCCESS|AUTH_INVALID|ACCOUNT_SUSPENDED|RATE_LIMITED|SECOND_VERIFICATION_REQUIRED,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,riskReason,riskReason,7,String,YES,UTF-8; 1..128 chars unless a narrower rule applies,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,deviceInfo,deviceInfo,8,Json,YES,LoginAuditDeviceInfoSchemaV1,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,ip,ip,9,String,YES,IPv4 or IPv6 text; max 45 chars,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
LoginAudit,occurredAt,occurredAt,10,DateTime,YES,ISO-8601 UTC timestamp,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",追加/版本/快照，不覆盖已生效历史,M1,"P0-045,P0-066,P0-069,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
EnterpriseCustomer,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,companyId,companyId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,legalName,legalName,3,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,creditCode,creditCode,4,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,contactName,contactName,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,contactMobile,contactMobile,6,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,agreementStatus,agreementStatus,7,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseCustomer,status,status,8,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,"P0-028,P0-077",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseUser,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseUser,enterpriseCustomerId,enterpriseCustomerId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseUser,role,role,3,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseUser,mobile,mobile,4,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseUser,email,email,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseUser,status,status,6,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,id,id,1,String/UUID,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,enterpriseCustomerId,enterpriseCustomerId,2,String/UUID,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,consignee,consignee,3,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,mobile,mobile,4,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,fullAddress,fullAddress,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,lat,lat,6,DateTime,YES,ISO-8601+明确时区,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,lng,lng,7,Decimal,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseAddress,isDefault,isDefault,8,Boolean,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,enterpriseCustomerId,enterpriseCustomerId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,title,title,3,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,taxNo,taxNo,4,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,bankName,bankName,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,bankAccountMasked,bankAccountMasked,6,Int,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseInvoiceProfile,isDefault,isDefault,7,Boolean,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,enterpriseCustomerId,enterpriseCustomerId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,programId,programId,3,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,purchaseNo,purchaseNo,4,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,purchaseAmount,purchaseAmount,5,Int(分),YES,整数分,FINANCIAL,公司财务与必要业务职能；供应商仅本供应商结算视图,消费者响应仅返回自身交易白名单字段,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,issueAmount,issueAmount,6,Int(分),YES,整数分,FINANCIAL,公司财务与必要业务职能；供应商仅本供应商结算视图,消费者响应仅返回自身交易白名单字段,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,paymentStatus,paymentStatus,7,Enum/String,YES,待M阶段冻结,FINANCIAL,公司财务与必要业务职能；供应商仅本供应商结算视图,消费者响应仅返回自身交易白名单字段,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,agreementVersion,agreementVersion,8,Int,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
EnterpriseWelfarePurchase,status,status,9,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
Supplier,id,id,1,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,companyId,companyId,2,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,server always binds the unique Company,按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,legalName,legalName,3,String,YES,UTF-8; 1..128 chars unless a narrower rule applies,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,creditCode,creditCode,4,String,YES,18 uppercase unified-social-credit-code chars,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,normalized credit code is unique across Supplier rows,按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,status,status,5,Enum<DRAFT|PENDING_REVIEW|CORRECTION_REQUIRED|ACTIVE|SUSPENDED|EXITING|EXITED>,YES,DRAFT|PENDING_REVIEW|CORRECTION_REQUIRED|ACTIVE|SUSPENDED|EXITING|EXITED,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,only the frozen Supplier state machine may change it,按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,pickupAddress,pickupAddress,6,String,YES,1..500 UTF-8 chars,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,pickupLat,pickupLat,7,"Decimal(10,7)",YES,-90.0000000..90.0000000; scale 7,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,pickupLng,pickupLng,8,"Decimal(10,7)",YES,-180.0000000..180.0000000; scale 7,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,settlementAccountMasked,settlementAccountMasked,9,String(128),YES,masked account label only; 4..128 chars; full account forbidden,FINANCIAL,公司财务与必要业务职能；供应商仅本供应商结算视图,消费者响应仅返回自身交易白名单字段,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
Supplier,qualificationSnapshot,qualificationSnapshot,10,Json,YES,SupplierQualificationSnapshotSchemaV1,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-003,P0-004",综合方案§13核心数据模型,FROZEN_M1_000
SupplierUser,id,id,1,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-005,P0-069,P0-070,P0-004,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
SupplierUser,supplierId,supplierId,2,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,written only by approved invitation or onboarding activation; login input cannot override it,按实体version或审计日志保留变更证据,M1,"P0-005,P0-069,P0-070,P0-004,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
SupplierUser,name,name,3,String,YES,UTF-8; 1..128 chars unless a narrower rule applies,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-005,P0-069,P0-070,P0-004,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
SupplierUser,mobile,mobile,4,String,YES,E.164; 8..15 digits after optional leading +,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-005,P0-069,P0-070,P0-004,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
SupplierUser,email,email,5,String,YES,RFC 5322-compatible address; max 254 chars,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-005,P0-069,P0-070,P0-004,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
SupplierUser,status,status,6,Enum<INVITED|ACTIVE|LOCKED|SUSPENDED|REVOKED>,YES,INVITED|ACTIVE|LOCKED|SUSPENDED|REVOKED,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-005,P0-069,P0-070,P0-004,P0-072",综合方案§13核心数据模型,FROZEN_M1_000
